逊	遜
逐	豩
途	蒤
逗	浢
通	嗵
逛	迋
逝	迣
逞	浧
速	趚
造	慥
逢	漨
逮	曃
逻	羅
逼	腷
逾	揄
遂	嬘
遇	喁
遍	猵
道	檤
遥	滛
遭	蹧
遮	嗻
遵	噂
避	鐴
邀	撽
邓	郰
邢	郉
那	哪
邦	綁
邪	峫
邵	卲
邻	鄰
郁	喐
郎	蓢
郑	鄭
部	蔀
郭	漷
都	嘟
鄙	啚
酋	媨
配	蓜
酒	氿
酪	絡
酬	絒
酱	醬
醇	錞
醉	酔
醋	齰
醒	瑆
重	偅
野	嘢
量	糧
金	唫
针	針
钉	町
钓	銱
钙	鈣
钝	沌
钞	鈔
钟	妕
钠	妠
钢	鋼
钧	呁
钩	溝
钮	妞
钱	錢
钻	鑽
铁	鉄
铃	玪
铅	鉛
铜	恫
铝	焒
铭	佲
银	檭
铺	舗
链	嗹
锁	鎻
锄	鋤
锅	煱
锈	琇
锋	峯
锐	銳
错	措
锡	唶
锣	囉
锤	腄
锦	婂
键	楗
锯	涺
锻	葮
镇	鎮
镊	嗫
镐	鎬
镜	傹
镭	檑
长	萇
门	閄
闪	閁
闭	閉
问	問
闯	闖
闰	潤
闲	娴
间	簡
闷	悶
闸	閘
闹	閙
闺	閨
闻	聞
闽	閩
阅	閱
阎	閻
阐	闡
阔	闊
队	隊
阮	朊
防	汸
阳	陽
阴	隂
阵	俥
阻	蒩
阿	婀
陀	拕
附	胕
际	漈
陆	陸
陇	茏
陈	陳
陌	帞
降	夅
陕	陝
陡	跿
院	阮
除	篨
陨	殒
险	険
陪	婄
陵	夌
陶	匋
陷	陥
隆	湰
隋	陏
随	隨
隐	陻
难	難
雅	蕥
集	潗
雍	澭
雏	雛
雕	鵰
雪	膤
零	蕶
雷	檑
雾	霚
需	濡
霉	苺
霍	靃
霜	灀
霞	葭
露	蕗
霸	覇
霹	噼
青	圊
静	靜
非	悱
面	媔
革	愅
鞋	嚡
韩	韓
音	堷
韵	韻
页	頁
顶	嵿
顷	頃
项	頙
顺	順
须	湏
顾	顧
顿	頓
颁	頒
颂	頌
预	預
领	領
颇	櫇
颈	頸
频	頻
颖	颕
颗	錁
题	趧
颜	顔
颤	顫
风	颩
飘	彯
飞	飛
食	喰
餐	爘
饭	粄
饮	飮
饰	飾
饱	怉
饵	聶
饶	隢
饿	皒
馁	浽
馅	陥
馆	菅
馈	潰
馋	镵
馒	獌
首	渞
香	萫
马	骉
驮	駞
驯	紃
驰	肔
驱	駆
驳	訤
驴	馿
驶	馶
驼	袉
